OrgNo;Navn;AntallAnsatte;Naeringskode;Organisasjonsform;brregNavn
818297572;ELVFJORDEN HOLDING AS;0;68.209;AS;
818312512;Hi5 Film AS;9;59.110;AS;
818315562;TEIGEN TOTAL AS;1;74.903;AS;
818316712;BASSKON AS;0;68.100;AS;
818340532;EIDE LEGESENTER AS;0;86.211;AS;
818342322;West Robotics And Digitalisation AS;0;62.010;AS;
818343752;BIG FISH NORGE AS;5;74.102;AS;BIG FISH AS
818347472;VARIAL MEDIA AS;0;;AS;
818347952;Boligutvikling Stavanger AS;0;;AS;
818351682;JACOB KJØDES EIENDOM AS;0;41.109;AS;
818370652;SALTEN FISKEINDUSTRI AS;0;;AS;
818377142;TANNSMIA AS;7;32.500;AS;
818398832;BERGSKOGEN AREAL AS;0;41.109;AS;HENRIKS VEI UTVIKLING AS
818414862;BG VAULT AS;0;00.000;AS;
818428812;CLAN AS;8;47.710;AS;
818434472;TEAM LEWEL AS;0;85.510;AS;
818441622;FRAM X AS;2;62.020;AS;
818448252;TB CONSULT AS;0;;AS;
818476272;EIGANES INTERNATIONAL SCHOOL AS;39;85.201;AS;BISS SENTRUM AS
818491352;Haugbukta Fysikalske ANS;0;86.902;ANS;
818500742;BLUEOCEAN MARINE AS;0;;AS;
818500912;Mindshift AS;16;70.220;AS;
818501072;EPOXYTEC AS;0;70.220;AS;EPO INVEST AS
818510292;NORWEGIAN RAIN ROOM AS;0;;AS;
818547102;SIKKERHET 24/7 AS;0;;AS;
818562632;SUNLAND-EKER EIENDOM AS;0;17.120;AS;
818576552;HERREKLINIKKEN NORGE AS;1;86.211;AS;C SPESIALIST AS
818577672;COLLECTIVE AS;3;82.300;AS;
818594682;BRÅTVEIT ENTREPRENØR AS;9;43.120;AS;
818601212;GO2LOFOTEN AS;5;79.903;AS;
818609582;ESSENS VIGDIS DAGSPA AS;18;96.020;AS;
818625952;LYNGVÆR BEMANNING AS;1;68.209;AS;R. LYNGVÆR EIENDOM AS
818627262;BERTGEN-BYGG AS;11;41.200;AS;BERGEN-BYGG AS
818656742;ACER DIXON AS;1;85.599;AS;
818658192;NYGAARDSGATA 39 HOLDING AS;0;68.209;AS;
818668252;VETERINÆR ELVENES AS;1;75.000;AS;
818670362;BOBIL OSLO AS;10;45.192;AS;
818671652;PUDDING-TV AS;0;;AS;
818672322;INTSA AS;0;74.909;AS;
818679262;BYGG & EIENDOM VEST AS;15;41.200;AS;
818692722;CAM Eiendom AS;0;;AS;
818705182;STR8LINE AS;0;;AS;
818711832;LUFTAMBULANSETJENESTEN HF;28;86.907;SÆR;
818718152;Røyskatt Holding AS;0;68.209;AS;
818720572;VALLØ BÅT AS;4;33.150;AS;BBM TEKNIKK AS
818746032;Geiranger Camping AS;3;55.300;AS;
818755112;VIK ASSURANSE AS;0;66.290;AS;
818765622;Uomo AS;0;68.209;AS;
818767072;Prosjekt Service AS;1;71.121;AS;
818770472;EFFEE AS;1;28.910;AS;
818772092;SVOLVÆR HAVN DRIFT AS;0;55.101;AS;KABELVÅG HAVN DRIFT AS
818780672;Bv Bygg AS;24;41.200;AS;
818786492;STORØYODDEN EIENDOM AS;0;68.209;AS;
818788282;PETROLEUM EIENDOM AS;0;68.209;AS;
818810962;SUSHI 153 COLLORA;0;56.101;ENK;
818858892;AE HOLDCO AS;0;68.209;AS;EMTUNGA HOLDCO AS
818859872;STEINBRA BØMLO AS;0;;AS;ØRJANSEN ANLEGG AS
818865082;HAVBRUKSPARTNER AS;3;03.213;AS;
818941382;Risørholmen Holding AS;0;46.381;AS;
818952872;Thomassen Rør AS;5;43.221;AS;
818983662;EMS-FEHN-GROUP SCANDINAVIA AS;42;42.220;AS;
819004722;ENERGISUPPORT AS;0;;AS;
819006482;VIKSKJÆR AS;0;;AS;
819016682;ES BYGG OG RENOVERING STANEVICIUS;0;;ENK;
819035172;TECHFIKS AS;0;;AS;
819042462;Anskaffelsesadvokaten AS;1;69.100;AS;
819046972;IDÉHUS HARSTAD AS;0;;AS;
819061602;Wok Ben Tre Sushi Takeaway AS;0;;AS;
819072272;VEST HAVBRUK AS;0;03.213;AS;
819088632;STIFTINGA FEST I VEST;0;90.020;STI;
819113912;NORSK SOLAR AS;20;71.129;AS;
819115842;Ml-Service Jukka Matias Lehtinen;0;;ENK;
819132992;BYGG OG BRANNTEKNIKK AS;1;71.121;AS;
819139652;JANNE LARSEN HOLDING AS;0;64.308;AS;
819149712;FEEL24 TROMSØ AS;0;;AS;
819154082;JON TORE SAND AS;3;49.410;AS;
819155372;AAA CARCARE AS;0;;AS;JESSHEIM BILPLEIE AS
819165572;KYSTEN VANNSPORT AS;0;;AS;
819167362;Baumah Krzysztof Zalewski;0;;ENK;
819175632;B&D UTVIKLING AS;0;;AS;
819180792;Tømrer Th Andersen;0;41.200;ENK;
819196672;Wieland BlueSea AS;0;;AS;
819200262;VANYLVEN BILPLEIE AS;1;45.200;AS;
819218862;DESIRED OUTCOME HOLDING AS;0;85.599;AS;
819229392;VIDENTIUM AS;0;62.010;AS;
819257132;STØYP-IT AS;7;43.990;AS;
819272042;VIDAR J KRISTIANSEN AS;2;46.739;AS;
819272182;IN THE PARK AS;1;90.011;AS;
819306532;WESTJORD;0;74.101;ENK;
819307792;KAREN CONSULTING;0;70.220;ENK;KAREN CONSULTING KAREN SANN FOUGNER
819328692;STAURBAKK AS;12;43.210;AS;
819334072;POWERLINE ICS AS;2;71.129;AS;
819336172;Skeiv Verden Vest;0;94.991;FLI;
819348502;Fosen Trapp & Interiør AS;8;16.232;AS;
819360502;GLASSCON AS;6;47.529;AS;
819378142;ØVSTTUNVEIEN 46 AS;0;41.109;AS;
819392692;KNH AS;0;47.914;AS;USOM AS
819405042;KURSEKSPERTEN AS;0;;AS;
819415072;FRK. BREKKE AS;0;47.510;AS;
819418462;WILDPHOTO NORWAY AS;0;79.903;AS;SMØLA NATUROPPLEVELSER AS
819421552;BIATHLONTEAM AS;0;93.190;AS;
819481822;HENRIETTES KJØKKEN HAUGALANDET AS;0;;AS;
819483922;PARA SAMFUNN;5;90.012;FLI;
819487812;ASKIMREGIONEN NÆRINGSUTVIKLING AS;2;70.220;AS;INDRE ØSTFOLD NÆRINGSUTVIKLING AS
819494002;NUBBEN BARNEHAGEDRIFT AS;26;88.911;AS;
819499292;SIGGMA SUBSEA AS;2;71.129;AS;
819502102;TENDRA AS;0;46.493;AS;KODA GROUP AS
819511772;SNØFOKK AS;6;56.101;AS;
819558752;BY NORWEGIANS AS;0;47.789;AS;
819563292;Sport Outlet Lillehammer 45 AS;9;46.494;AS;
819572062;GRØNN BOLIG HOLMESTRAND AS;0;;AS;
819574502;OPPDAL TRAFIKKSKOLE AS;6;85.530;AS;
819607842;Sport Norge Kristiansund 515 AS;15;46.494;AS;SPORT OUTLET STOVNER 75 AS
819626472;IMN INNOVATION MEDICAL NORWAY JENS KJELDGAARD;0;46.180;ENK;
819649952;TEACH ME AS;0;62.010;AS;
819656312;STAVANGER MASKIN AS;2;43.120;AS;
819657742;GDK PRO AS;2;43.320;AS;
819700842;MALERBODEN STORD AS;7;47.523;AS;
819706662;FØLL AS;1;41.200;AS;
819716072;STRABOO AS;0;62.010;AS;
819732612;MØRKVED HANDELSEIENDOM AS;0;68.100;AS;
819733872;KOBBERLØPET AS;1;93.190;AS;
819743142;STOKMARKNESBYGGET AS;11;68.209;AS;
819745412;KÅLSTØ HOLDING AS;0;47.111;AS;
819748462;CAMAR HOLDING AS;0;68.209;AS;
819750092;TØMMERVIKGRUPPEN 2 AS;0;70.220;AS;
819757712;FRODE SMINES AS;3;43.120;AS;
819760632;RCC INVEST AS;0;68.100;AS;
819760772;INGSCAN AS;0;;AS;
819777292;MOLDE AUTO AS;3;68.209;AS;
819785082;BLUSHSTUDIO AS;13;96.020;AS;
819794952;B.TVEIT;0;;ENK;
819815852;Skarsdalen Utvikling AS;0;68.209;AS;
819827842;EA Solutions AS;9;33.120;AS;KYMAR SOLUTIONS AS
819832412;APARTÉ AS;0;47.299;AS;
819849862;ERM EIENDOM AS;0;68.209;AS;
819855072;HALL MONTASJE AS;6;41.200;AS;
819855412;Nordisk Vedlikehold AS;0;;AS;
819859752;TRE & MASKIN AS;1;41.200;AS;
819886482;SAMEIET PRESTGÅRDSLIA;0;;ESEK;
819888132;HJEM & INTERIØR KOMOROWSKA;0;43.341;ENK;
819894922;BLOMERIET BLOMSTER AS;3;47.919;AS;
819923752;KVÅLSETH UTLEIGE AS;0;77.110;AS;
819927782;SVIGERFAR AS;2;81.101;AS;
819933472;AUTOSPORT VERKSTED AS;1;45.200;AS;
819935602;MC GARASJEN AS;3;45.403;AS;
819943702;CONVERT EIENDOM AS;0;68.209;AS;
819944482;Sana Oris Tannklinikk AS;13;86.230;AS;
819944962;PROENCO AS;21;63.110;AS;ASCERTRA AS
819952892;IN HOUSE EIENDOMSMEGLING AS;6;68.310;AS;
819982252;SEKO ELEKTROTEKNIKK AS;2;27.110;AS;
819997292;7 FJELL KJEVEORTOPEDI AS;0;;AS;
819998922;TØMRER TOMMY JOHANSEN AS;1;41.200;AS;
819999422;TRULS REPPE;0;;ENK;
820012542;Yako Restaurantdrift AS;5;56.101;AS;
820014642;VESTERÅLSGATA 110 AS;0;68.209;AS;
820024842;WISER AS;0;00.000;AS;
820026012;TOLÅS MARKETING AS;0;77.320;AS;
820067592;FNP C3-2 AS;0;68.209;AS;
820072332;FNP FELT B VEST AS;0;68.209;AS;
820119282;FNP I4-3 AS;0;;AS;
820119312;FNP I4-4 AS;0;;AS;
820123212;LOFOTEN TRUCKSERVICE UTLEIE AS;0;77.390;AS;LOFOTEN UTLEIESENTER AS
820169522;Somna AS;0;;AS;
820174402;HBAUER AS;0;;AS;
820175972;WT INVESTMENT AS;0;;AS;
820177592;PLAN C AS;0;59.110;AS;
820180682;HAUGMO AS;0;;AS;
820184602;Eierseksjonssameiet Sem Hageby;0;;ESEK;
820230582;SAMEIET KONGENS GATE 28 A-B;0;;ESEK;
820244672;AGGREGAT SERVICE AS;0;33.120;AS;
820249682;OLSOK AS;12;47.710;AS;
820251342;WEBJØRNSEN TRADING;0;;ENK;
820260082;ASH AS;5;71.121;AS;
820261542;NARVIK BYGG PROSJEKT AS;2;41.109;AS;
820277902;KVAMSØY FRITIDSBOLIGER AS;0;41.200;AS;
820297032;SEAS ECO AS;0;39.000;AS;
820320832;SKARVHYTTA AS;0;41.200;AS;REINE UTVIKLING AS
820328922;Sentrum Tannklinikk Alta AS;7;86.230;AS;
820365232;HJORTERO EIENDOM AS;0;68.209;AS;FJELLHAMMERVEIEN 11C AS
820365682;PRORES FIELD MANAGEMENT AS;2;09.101;AS;WELL INTERCEPT AS
820370422;BSA BETONGVARE AS;3;46.739;AS;
820375572;CURIE AS;0;;AS;
820379942;G3 UTVIKLING AS;0;41.109;AS;
820382722;Jho Maskin Og Transport AS;1;43.120;AS;
820387732;STORMVIND AS;5;70.220;AS;
820390342;PAPIRDESIGN AS;3;74.102;AS;
820404122;FORENINGEN FORTELLINGENS KRAFT;0;94.991;FLI;
820411382;Trondheim Stein AS;4;43.990;AS;
820416112;Vaar AS;11;96.020;AS;
820427092;M&M PROPERTY AS;0;68.209;AS;
820430662;GEO BODØ AS;0;68.209;AS;GEO GRUPPEN AS
820443942;MVR LANDBRUK & VEIDRIFT AS;0;43.120;AS;
820444132;STENVIK POWER GROUP AS;0;35.140;AS;SPG AS
820460642;TETT BYGG AS;0;;AS;
820465792;Tregården Restaurant AS;0;;AS;
820473752;BALTESKARD BUSS AS;7;49.392;AS;
820479572;COMPETE CONSULTING GROUP AS;0;70.220;AS;
820488512;MØLLER BYGG AS;23;43.330;AS;
820489012;Stavanger-Gynekologene AS;4;86.221;AS;
820489462;BYGGLUND AS;6;41.200;AS;
820501152;Azteko AS;7;56.102;AS;
820506502;WALSETH GÅRD V/ MARIA HERNETKOSKI;4;01.410;ENK;
820511212;JAN HUGO SVENDSEN INVEST AS;0;70.220;AS;
820521692;NORLITA AS;11;46.739;AS;
820530942;Helgeland Hogst AS;4;02.400;AS;
820538692;JMF BYGG OG EIENDOM AS;0;41.200;AS;
820543432;SKARHAUGEN AS;0;68.100;AS;
820548442;Sport Norge Mo i Rana 519 AS;19;47.641;AS;SPORT OUTLET KILDEN 73 AS
820563352;ASPEN PT;0;;ENK;
820572882;FRAKKE FOLK AS;0;79.903;AS;
820590082;RISTE ARKITEKTUR AS;2;71.112;AS;
820601882;Leirosen Garasjedrift AS;0;;AS;
820602072;KA-SERVICE AS;3;71.129;AS;
820602412;BAGØIEN ENDRING, FOREDRAG- OPPLEVELSER-KURS;0;85.599;ENK;
820604822;INTERKREDITT KAPITAL AS;1;64.920;AS;
820609212;SPETAKKEL FESTIVALEN;0;90.020;FLI;
820618602;Borgebund Bygg AS;1;41.200;AS;
820624262;VKT SUPERCARS AS;0;45.112;AS;
820625692;FLØIEN EIENDOM AS;0;;AS;
820627032;AITRAP AS;0;;AS;
820649672;TEAM ADMIN AS;9;70.220;AS;
820659112;BLAALID RIV & BYGG AS;0;;AS;
820660382;Storheil AS;2;86.902;AS;
820674022;KISTEBUNNEN INVEST AS;0;64.308;AS;
820708652;ZINO HOLDING AS;0;68.209;AS;
820746112;BOLIGRÅDGIVEREN AS;4;41.200;AS;
820759362;Haldorgården AS;0;41.109;AS;
820774582;SANDRAS GRILL V/NINOS NINOS AFRAM MOSHE;4;56.102;ENK;
820800052;NANU MALERFIRMA AS;9;43.341;AS;
820801482;FAYE-LUND GRAPHICS;0;62.010;ENK;
820828682;SØRVÅGEN KYSTFISKE AS;0;03.111;AS;KRANSVIK KYSTFISKE AS
820846532;NORTH OF LYNGEN APARTMENTS AS;5;55.101;AS;
820847032;HJORTERO HYTTER AS;1;41.109;AS;
820848772;SEILET EIENDOM AS;0;41.109;AS;
820862562;VILBERG GRUPPEN AS;0;62.020;AS;
820872622;ML PLENUM AS;24;56.101;AS;
820881192;SANGEETHA JEYABALASINGAM PRASATH;0;86.211;ENK;
820882652;THORHILD WIDVEY CONSULTING AS;0;70.220;AS;
820884892;FAIIR REVISJON DA;0;69.202;DA;
820901312;HV VII Invest Foxtrot AS;0;00.000;AS;
820914872;ALU VINDUER AS;0;;AS;
820919092;RAC KANTINEDRIFT AS;0;;AS;
820930762;BYGG & VA RÅDGIVEREN AS;0;;AS;EKS RØRFORNYING AS
820931262;ENERGI EIENDOM AS;0;;AS;
820937422;WICAN REGNSKAP VESTFOLD AS;5;69.201;AS;
820938062;STRØMSVIK OFFSHORE AS;0;;AS;
820947592;G1S INVEST AS;0;00.000;AS;
820962052;Aqua Seapro AS;0;03.213;AS;
820963512;PARTNER BERGEN AS;1;68.209;AS;
821007062;OLA BØ;0;62.020;ENK;
821009812;CAV 51 AS;0;68.209;AS;
821015162;BIRGER DIMITRIJ HENRIKSEN;0;80.100;ENK;
821015472;Lantan AS;0;68.209;AS;
821016312;Placht Holding AS;0;68.209;AS;
821032512;K11 Investor AS;0;00.000;AS;
821036372;GREENROOM SOLVOR WIIG;0;31.090;ENK;
821055652;O.K.A HOLDING AS;0;64.308;AS;
821058872;CRO EIENDOM AS;0;68.209;AS;
821059542;VINOTEKET AS;12;56.101;AS;
821066212;RS GLOBAL ENERGY AS;0;70.220;AS;
821072212;HILDRING HAVN AS;0;;AS;
821090822;COWORX MANDAL AS;0;68.209;AS;
821091942;LA MASKIN AS;0;81.299;AS;
821094682;Startuplab Founders AS;0;00.000;AS;STARTUPLAB FOUNDERS FUND III AS
821107342;TAMAJ AS;0;;AS;
821109582;Proff Gruppen Bygg AS;0;;AS;
821126932;Gsj Invest AS;1;86.211;AS;
821135982;SJ FISK AS;0;03.111;AS;
821149282;EIDISSEN CODEX AS;0;;AS;
821154502;Smart Arctic AS;0;;AS;
821160022;Strendene Utviklingsselskap AS;0;;AS;
821167922;NOA AS;2;62.010;AS;
821168082;STRANDHOLMEN AS;0;41.109;AS;
821178282;PRITEX AS;4;82.110;AS;
821180252;GS TRANSPORT SJAFKAT ASIF GONDAL;0;;ENK;
821182042;SVALBARD KYSTFISKE AS;0;;AS;
821193842;Therese Kjøreskole AS;1;85.530;AS;THERESES TRAFIKKSKOLE AS
821196922;AveXis Switzerland GmbH;0;46.460;NUF;NOVARTIS GENE THERAPIES SWITZERLAND GMBH
821198062;BLÅMYRA AS;3;74.102;AS;
821199832;BIRKELAND TOTALENTREPRENØR AS;4;41.200;AS;ØSTLANDSKE BYGG AS
821205522;PRAELIA AS;1;46.693;AS;
821209862;NORA HAGFORS INTERIØRARKITEKTUR AS;1;74.103;AS;
821219612;TANNKLINIKKEN MARISOL & KALDHEIM AS;6;86.230;AS;
821228182;MB BYGG AS;0;41.200;AS;
821249902;Hov Eiendom og Utleie AS;0;68.100;AS;
821255112;Madame Beauté Cristina Ioana Ionita Skjæveland;0;96.040;ENK;
821284732;HAMNAHOLMEN MARINA AS;0;;AS;
821306272;AMUNDSEN BAD & FLIS;0;;ENK;
821307872;ASBJØRNSEN BYGG;0;;ENK;
821332532;ROBOTIC TOWBARS AS;0;;AS;
821336112;BIOFOREDLING AS;0;47.990;AS;
821351952;TERNEN UTBYGGING AS;0;41.109;AS;
821356172;SAMEIET HVETEVEGEN BKS7;0;;ESEK;
821374502;POSITIV KOMPETANSE NORGE AS;2;78.100;AS;
821377242;A MONCLAIR;0;53.200;ENK;MONCLAIR TRANSPORT
821406382;AGK AS;1;70.220;AS;
821408172;FLORØ MOTE AS;4;47.710;AS;
821422442;MERAKI FRISØR AS;4;96.020;AS;
821430062;GRAVALID HOLDING AS;0;68.209;AS;
821435412;JOACHIM BANG;0;43.320;ENK;
821439132;BENT R. BERGER AS;0;71.129;AS;
821451442;TBK JENSEN;1;01.420;ENK;
821453402;SAMEIET AUREOSEN BRYGGE;0;;ESEK;
821456002;AURSNES & PARTNERS EIENDOMSMEGLING ÅLESUND AS;0;;AS;
821465362;STENSAAS CONSULTING;0;62.020;ENK;
821469902;KVITFJELLTOPPEN SAMEIERFORENING (KSF);0;94.991;FLI;
821479762;ANDERS SKJOLDSVEI 26,28,30,32 OG 34;0;;ESEK;SAMEIET ANDERS SKJOLDS VEI 26,28,30,32 OG 34
821493412;SULDAL SERVICE AS;19;78.200;AS;
821512662;Lassen Fjordfisk;0;03.111;ENK;
821515432;KAPP SECURITIES AS;0;;AS;
821523222;SILHUETT SYKKYLVEN AS;5;47.710;AS;
821532752;FORENINGSGATEN 1 AS;0;68.209;AS;
821533112;Snekker R. Ness AS;0;;AS;
821542332;LUNA HANDEL AS;0;;AS;
821553962;EIERSEKSJONSSAMEIET EPLEHAGEN;0;;ESEK;
821568242;VAMO AS;0;03.111;AS;
821569222;KONGSVINGER EIENDOM HOLDING AS;1;68.209;AS;
821578582;SPESIALISTKLINIKKEN HAUGESUND AVDELING HUD ULRICH CHRISTIAN BIER;0;86.221;ENK;
821581222;KRATHE HELSE AS;1;86.909;AS;
821586992;PART OF AS;0;70.220;AS;
821588782;GRÜNDERKLUBBEN AS;0;;AS;GK KAMPANJE AS
821609402;MINGE CONSULTING;0;43.221;ENK;
821620392;HUG BETONG AS;24;68.209;AS;
821625122;ODDGEIR OLSTAD E70;2;49.320;ENK;
821635462;GP SYSTEMS AS;4;41.200;AS;
821638402;LANDBRUKMEDMEIR ARNE KRINGLEN;0;02.200;ENK;
821641802;Mistel Accounting AS;4;69.201;AS;
821648092;NORSEATECH AS;0;;AS;
821661072;BOI GREFSEN 1 AS;0;;AS;
821663482;Memento Network Services AS;0;;AS;
821664462;NIPA HOLDING AS;0;71.129;AS;NIPA LIPA AS
821668832;GRANVOLL EIENDOM AS;0;41.109;AS;
821674662;ABL SKIN AS;0;;AS;
821675022;GRØNLIA AS;0;41.109;AS;
821696232;Lofoten takst AS;4;74.901;AS;
821700922;ADDERO AS;8;69.201;AS;
821703522;Brevetti Nordic AS;2;46.691;AS;
821710022;FENNE MASKIN;0;43.120;ENK;
821723442;SRS MASKIN & LANDBRUK AS;17;43.120;AS;
821723922;Balanse Eigedom AS;0;;AS;
821729432;TELLA AS;2;71.129;AS;
821734452;GOFORIT AS;12;47.721;AS;
821741602;MOLNES SEAFOOD AS;0;;AS;
821743842;L. SVARTDAL INVEST AS;1;64.308;AS;
821749492;Kaman AS;3;66.220;AS;
821756162;Deif Norge AS;10;46.180;AS;
821763622;Bergh Consulting;0;;ENK;
821777062;Get Accept AS;2;58.290;AS;GETACCEPT AS
821785022;VARANGER TRAFIKKSKOLE AS;0;85.530;AS;
821788862;HEADLOCK INVEST AS;0;00.000;AS;
821792282;TREBYGG SØR AS;0;;AS;
821800382;SOURTÀ EIENDOM AS;0;68.100;AS;SUORTÀ EIENDOM AS
821800412;SUORTÀ INVEST AS;0;00.000;AS;
821829682;MOBMAN AS;0;71.129;AS;MOBMAN HOLDING AS
821842972;ARWA AUTO SERVICE NAEL ABDULHAKIM ABUSHANAB;0;45.112;ENK;
821845262;ATL AS;18;78.200;AS;
821846242;SNEKKER HOLDING AS;0;43.320;AS;
821862132;AURDAL TAXI;0;49.320;ENK;
821888522;Huddlestock Fintech AS;3;62.010;AS;
821889472;ECO STOR AS;17;72.190;AS;
821903092;FROM AS;0;;AS;FROM II AS
821926122;APOLLÔN II AS;1;86.211;AS;
821962412;H.H. EIENDOM AS;0;68.209;AS;
821968402;ADVOKATFIRMAET MØLLER AS;6;69.100;AS;
821971462;Hexeberg Holding AS;2;43.120;AS;
821992192;ASF HOLDING AS;0;64.308;AS;
821998662;OMEGA Tek AS;0;46.694;AS;
822017002;MODAL AKTIVA AS;0;64.308;AS;
822017762;Sandefjord Betongsaging AS;0;;AS;
822021662;Asfalt-Industri AS;11;33.120;AS;VALHALL-INDUSTRI AS
822024742;ADVOKATFIRMAET ØSTVIK AS;0;;AS;
822031102;SVENSK EL-KVALITÈ AS;0;43.210;AS;
822046282;R HANSEN CONSULTING;0;70.220;ENK;
822047572;HV VII Invest Foxtrot II AS;0;;AS;
822053602;TORIL N. JAREN AS;1;86.211;AS;
822055362;HR NORDIC BIDCO AS;3;63.110;AS;TALENTECH GROUP AS
822059902;MIINT INTERNATIONAL R.SIKORA;0;;ENK;
822067662;BOLIG FOR FOLKET AS;0;41.109;AS;
822076882;MA AKTIVA AS;0;64.308;AS;
822082432;REINEBRINGEN SPORT AS;0;47.641;AS;
822088422;ØKSNES MØBELSENTER AS;6;46.471;AS;
822096972;TRYGGE BARN 2.0 AS;4;85.599;AS;
822105262;Tnv Holding AS;0;70.220;AS;
822111432;HJELPEMIDLER ØST AS;1;46.460;AS;
822122922;LINDA STUHAUG AS;1;90.035;AS;
822123562;CLAQ AS;0;69.203;AS;
822155022;JYW AS;2;81.210;AS;
822168132;ELDØY AS;0;85.599;AS;
822168752;Sport Outlet Narvik 70 AS;9;47.641;AS;
822171982;VINDU & HÅNDVERK AS;4;46.739;AS;
822193722;MUDO GYM NOTODDEN AS;0;;AS;
822198422;BERG-JENSEN INVEST AS;0;41.109;AS;
822200702;LENE FRIBERG-MASSASJETERAPEUT AS;1;86.909;AS;
822205682;Mg Tech AS;0;62.010;AS;
822207812;VISIT ALTA AS;1;79.901;AS;
822213022;Vognveien 43 AS;0;41.200;AS;
822219802;FRISØRSALONG LILLE MARIA IDZANOVIC;0;;ENK;
822221742;GULLE EIENDOM AS;0;68.209;AS;
822234372;Monica Kolseth;0;;ENK;
822235182;AM SKOGSDRIFT AS;2;02.200;AS;
822244572;MAP CO OSLO AS;0;41.200;AS;
822245242;KRAMSJØ AS;9;56.101;AS;
822249892;Skolegata 14-16 AS;0;68.209;AS;
822264042;47Bygg AS;2;41.200;AS;
822298362;Sandel Toader Transport;0;;ENK;
822299792;ROGALAND HUS OG HAGE AS;0;;AS;
822304842;MDP AS;0;;AS;
822349072;VETERINÆRVIKAREN AS;0;75.000;AS;
822349242;NORINNOVA NARVIK AS;0;62.020;AS;
822352332;TØMRER IVAR BAKKEN-BERG;0;41.200;ENK;
822355102;Ki-Tech Global AS;0;00.000;AS;
822363792;Hansnes Fisk AS;0;03.111;AS;
822364632;MORGENSTJERNEN TRIVSELSBOLIG AS;3;68.209;AS;MORGENSTJERNEN HELSEBOLIG AS
822365582;Larsnes Holding AS;0;45.200;AS;
822375952;Det Glutenfrie Verksted AS;3;46.769;AS;
822396992;SHIPSHAVE AS;11;71.129;AS;
822403972;EVO PARTNERS AS;0;70.220;AS;
822406742;MARMAG HENRIKSEN;0;43.320;ENK;
822433502;Mari Staveland AS;1;70.220;AS;
822538452;Cathrines Alternativ AS;3;96.090;AS;
822585582;DR KYSTFISKE AS;0;03.111;AS;
822595332;LOS TACOS LØKKA AS;22;56.101;AS;
822611362;Ola Pettersen;0;41.200;ENK;
822611672;BLIKOM MEKANISKE;0;;ENK;
822633242;HELGELAND OPPLEVELSER AS;1;79.903;AS;ADVENTURE HELGELAND AS
822652662;Sebari Motor AS;0;45.112;AS;
822667422;BYGGTJENESTER HADELAND AS;1;41.200;AS;
822695302;E&C TØMRERTJENESTER AS;2;41.200;AS;
822698042;Gnist Ratvika Eiendom AS;0;;AS;PPP RATVIKA EIENDOM AS
822706592;Norwaste AS;9;71.129;AS;
822706762;XIN AS;1;71.129;AS;
822708862;BJØRGESÆTRA UTVIKLING AS;0;68.100;AS;
822712452;FOCUS KAFE AS;13;56.101;AS;
822719392;Mantiz AS;0;62.020;AS;
822723802;CIVIL GROUP AS;0;70.220;AS;
822724752;SALTVIK MEKANISKE AS;0;25.110;AS;
822742122;Sætre Eiendomsinvest AS;0;68.209;AS;
822745512;Andreas Jahr AS;0;;AS;
822750192;LØKKACATERING AS;2;56.210;AS;
822753892;Kabelvåg Regnskap AS;3;69.201;AS;
822772412;NORDRE SØRØYA RORBUER AS;4;68.209;AS;
822772552;Kvinnherad Fjordresort AS;0;68.209;AS;
822773052;ALTA RENHOLD AS;0;;AS;
822773532;FURULUND MASKIN ENTREPRENØR AS;1;43.120;AS;
822790232;SKODVIN GARD 96/3 ØYVIND FESTE;0;01.110;ENK;
822810152;SLOTTSFJELLET INVEST AS;0;68.209;AS;CAMALETRI EIENDOM AS
822828132;LYGREGÅRDEN EIENDOM AS;0;68.209;AS;
822835872;D-LIGHT AS;0;47.990;AS;
822845932;RUND BAUT AS;1;70.220;AS;
822851932;KAIA HEGRE AS;0;01.430;AS;
822875912;Oddleiv Sæle Konsult AS;0;70.220;AS;
822880312;CLAY FILLER UTLEIE PÅL-EIRIK SEDOLFSEN;0;68.209;ENK;
822884512;PANDORA-NORGE JOHN PETTER THINGSTAD;0;26.700;ENK;
822886582;PIXERY MEDIA NORWAY AS;2;62.090;AS;
822903312;SPIRE INNOVASJON AS;2;70.220;AS;
822904602;JEGERS SERVICEBUREAU AS;2;81.101;AS;
822904882;ED SOLUTIONS AS;3;70.220;AS;
822906222;HUSTADVIKA TRAFIKKSKOLE AS;2;85.530;AS;
822907172;KJELVIKSPILLET AS;0;90.012;AS;
822917372;FUZZY MOLDE AS;10;56.101;AS;
822927602;SQT AS;8;77.390;AS;
822928552;WEX APARTMENTS AS;6;55.101;AS;WEX HOTELS AS
822939562;VERO BYGG EIENDOM AS;0;68.209;AS;
822941222;CIVIL MANAGEMENT AS;6;71.121;AS;
822953972;NRGIZE AS;0;;AS;
822960472;TORGERSEN LANGGATEN 38;0;68.209;ENK;
822965962;HATCH ACCELERATOR FUND AS;0;00.000;AS;
822969062;Oppsving Eiendom AS;0;68.209;AS;
822981712;TASTE OF THAI AS;1;56.102;AS;
822989152;Nordre Torv 6 AS;0;68.209;AS;
823010702;MATHISEN HUS & HYTTESERVICE OLE JOHAN MATHISEN;0;;ENK;
823011512;Orvei Invest AS;0;00.000;AS;
823017022;ØLØL AS;5;46.349;AS;
823048912;LJ ERVIK CONSULTING;0;;ENK;
